name,short,region,location,org,is_disbanded,renamed_to
BOOM Esports,BME,Asia Pacific,Indonesia,,1,
BoostGate Esports,BGT,EMEA,Turkey,,0,
Born to Kill,B2K,LAS,Chile,,1,
Botafogo Esports,BOT,Brazil,Brazil,,0,
Boutgamers sexy edition,BGse,EMEA,Liechtenstein,,1,
BowQen Blackbucks,BQB,Japan,Japan,,1,
Box Ladies,BOX.L,Vietnam,Vietnam,Box Studio,1,
BPZ,BPZ,Korea,South Korea,,1,
Brave e-Sports,BRV,Brazil,Brazil,,1,
BraVeLY,BVL,Asia Pacific,Japan,,1,
Braves Rising,BRR,Latin America,Colombia,,1,
BrawL eSports,BWL,LAN,Mexico,,1,
BrawL.NA,BWL,North America,Mexico,,1,
Bren Esports,BRE,SEA,Philippines,,1,
Briar Cliff University,BCU,North America,,,0,
Bring It On,BIO,Latin America,Argentina,,1,
Brod n Friends,BROD,EMEA,United Kingdom,,0,
Brussels Guardians,BG,Europe,Belgium,,1,
Brussels Guardians Academy,BG.A,Europe,Belgium,,1,
BRUTE,BRT,EMEA,Czech Republic,,0,
BRUTE Academy,BRT.A,EMEA,Czech Republic,,1,
Bubliki,BBK,EMEA,Russia,,0,
Bucks Vipers,VIP,Europe,Denmark,,1,Vipers Inc
BUFF,BUFF,LMS,Taiwan,Team Afro (Organization),1,
Buff Katarina,KAT,North America,,,1,
Bulldog Esports,BDG,EMEA,United Kingdom,,0,
Bullets eSports,BLT,LAS,Chile,,1,
Bunny Girls,BUN,North America,United States,,0,
Burger Flippers,BGF,Europe,Europe,,1,
Burning Core Toyama,BCT,Asia Pacific,Japan,,0,
Burning Core Toyama Academy,BCT.A,Asia Pacific,Japan,,1,
Bursaspor Academy,BS.A,Turkey,Turkey,,1,5 Ronin Academy
Bursaspor Esports,BUR,Turkey,,,1,5 Ronin
Burst The Sky Esports,SKY,Vietnam,Vietnam,,1,
Bushido Wildcats,BW,EMEA,Turkey,,0,
BuzzKill,BK,Europe,United Kingdom,,1,
BWE Esports,BWE,EMEA,Portugal,,1,
CAG OSAKA,CAG,Asia Pacific,Japan,,0,
Cal Esports,CAL,North America,,,0,
Calamity Esports,CE,North America,,,0,
Caldya Esport,CLA,EMEA,France,,0,
Call Gaming,CG,North America,United States,,1,
Campbellsville University,CU,North America,United States,,0,
Campus Party Sparks,SPK,Europe,Italy,,1,
cannot be asked,CBA,North America,,,1,
Capital Esports,CAP,SEA,Indonesia,,1,
Carleton University,CU,North America,,,0,
Carolina Reapers,REAP,North America,United States,,0,
Carpe Diem,CD,CIS,Europe,,1,
Carthage Legionnaires,CL,EMEA,Tunisia,,1,
Case Esports,CASE,EMEA,Spain,,1,
CASLA Esports,SL,Latin America,Argentina,,1,
Castle Berry,CB,North America,,,1,
Cattleya Gaming,CTG,Latin America,Colombia,,1,
CB Gaming,CB,North America,,,1,
CBS Esports,CBS,Europe,Greece,,1,
CC Club,CC,China,China,,1,
CCfuture,CCF,China,China,,1,Chong Qing Gaming
CCG Esports,CCG,North America,United States,,0,
CCG Futures,CCF,North America,,,1,
CCG Glorp,CCGG,Americas,,,1,
Celestial Gaming,CG,Europe,Norway,,1,
CenturySoft,CSoft,LMS,Hong Kong,,1,
Cerberus e-Sports Club,cBs,Europe,Spain,,1,
Cerberus eSports,CRB,North America,,,1,
CERBERUS Esports,CES,Asia Pacific,,,1,
Ceuta Guardians,CG,EMEA,Spain,,0,
CGN Esports,CGN,EMEA,Germany,,0,
Challenger Cookie Monsters,CMN,North America,,,1,
Chaotic Blaze,CEB,North America,,,1,
Chaotic Fusion,CEF,North America,,,1,
Chaotic Solar,CES,Americas,,,1,
Charlotte Phoenix,CLT,North America,North America,,1,
Chasing Haze 07,CH,EMEA,Turkey,,1,
Cheetahs,CHT,LMS,Taiwan,,1,
Cherry Esports,CR,Vietnam,Vietnam,,1,Team X (Vietnamese Team)
Chester Gaming Kitten Esports Club,CAT,EMEA,Europe,,1,
Chi Army,CHI,Latin America,Colombia,,1,
Chicks Dig Elo,CDE,North America,United States,,1,
Chiefs Academy,CHFA,Oceania,Australia,,1,
Chiefs Esports Club,CHF,Asia Pacific,Australia,,0,
Chienhsin Bear (健行熊),UCH,Asia Pacific,Taiwan,,1,
ChiLeanFivE,CL5,LAS,Chile,,1,
ChiLeanFivE Hopes,CL5.H,LAS,Chile,,1,
ChiLeanFivE The Legacy,CL5.L,LAS,Chile,,1,
Chilli Esport,CHIL,EMEA,Czech Republic,,1,
Chilly Mountain Chipmunks,CMC,North America,United States,,1,
Chilly Mountain Wolves,CMW,North America,United States,,1,
China e-Sports Academic,CEA,China,China,,1,
Chivas Esports,CHI,Latin America,,,1,
Chong Qing Gaming,CQG,China,,,1,
Chungnam Juego Esports,CNJ,Korea,South Korea,,1,
Chunnam Techno University,CTU,Korea,South Korea,,1,
Cidade Curiosa Esports,CCS,Europe,Portugal,,1,
Cienciano Esports,CCC,Latin America,Peru,,1,
