player_id,position,league,tier,games,winrate,teams,操作,意识,心态,团队,体质,综合,操作_10,意识_10,心态_10,团队_10,体质_10,综合_10,f_gd15,f_xd15,f_cd15,f_dpm,f_dmgshare,f_cspm,f_multi,f_vspm,f_wcpm,f_cwards,f_kp,f_deathshare,f_ejg,f_adver,f_clutch,f_lateg,f_stable,f_egshare,f_dmgmit,f_gspd,f_games,f_decay
XinMo,sup,LDL,2,115,0.678,MAX,48.9,58.4,46.1,51.1,72.4,54.1,4.9,5.8,4.6,5.1,7.2,5.4,0.0,0.0,0.0,161.00920347826087,0.07314275826086958,0.9414652173913044,0.0,2.5192043478260873,0.3148991304347826,12.208695652173914,0.6869060190073918,0.21315192743764172,0.017391304347826087,0.17290577207696103,-0.3949372207144228,-0.6985429174548345,-0.8286556658444317,0.09247005565217392,0.0,0.0,115.0,-0.12223741763373706
Xzz,mid,LDL,2,33,0.485,Invictus Gaming Young,41.5,56.8,68.4,58.9,54.2,54.1,4.2,5.7,6.8,5.9,5.4,5.4,0.0,0.0,0.0,478.96789393939395,0.2173993090909091,7.976139393939394,0.0,0.9373484848484849,0.19166363636363637,5.393939393939394,0.6724137931034483,0.17276422764227642,0.7575757575757576,0.3150721957464969,0.0,0.0,-0.7918849323143017,0.21203330303030304,0.0,0.0,33.0,0.2245888974726851
Aspire,top,LDL,2,72,0.528,Top Esports Challenger,44.7,64.8,49.1,52.0,62.6,53.9,4.5,6.5,4.9,5.2,6.3,5.4,0.0,0.0,0.0,440.8939236111111,0.2061848888888889,8.700056944444444,0.0,0.7963069444444444,0.17780138888888888,1.8055555555555556,0.5093283582089553,0.12641673931996514,3.3472222222222223,0.21824900464840513,-0.6022716863607218,-0.3331501328203719,-0.8991517065959664,0.2358950277777778,0.0,0.0,72.0,0.04660834132310641
hulatang,top,LDL,2,55,0.6,Joy Dream,55.0,51.4,63.1,46.6,54.3,53.9,5.5,5.1,6.3,4.7,5.4,5.4,0.0,0.0,0.0,555.9502054545454,0.23384474545454545,7.5543618181818175,0.0,0.94238,0.15821090909090907,5.454545454545454,0.5267349260523322,0.24856321839080459,2.9272727272727272,0.2534533671020471,0.1135590679788292,0.22479738670195185,-0.9676958878302441,0.21074465454545455,0.0,0.0,55.0,0.015476282972689586
whisper,jng,LDL,2,41,0.512,Ultra Prime Academy,51.0,62.5,40.1,55.2,56.1,53.5,5.1,6.2,4.0,5.5,5.6,5.3,0.0,0.0,0.0,344.2518975609756,0.1493931243902439,4.939926829268293,0.0,1.3540243902439024,0.32297073170731705,10.78048780487805,0.6915887850467289,0.20562130177514792,9.585365853658537,0.13322741715842032,-0.43151620514094124,-0.4980131627964734,-0.9746176874185907,0.17114529268292683,0.0,0.0,41.0,0.3617331997234588
Youxin,jng,LDL,2,72,0.472,LGD Gaming Young Team|ThunderTalk Gaming Young,44.5,62.6,42.4,58.4,63.9,53.4,4.5,6.3,4.2,5.8,6.4,5.3,0.0,0.0,0.0,264.74574929577466,0.13113753239436618,4.810886111111111,0.0,1.3040887323943662,0.33592535211267605,9.788732394366198,0.7191919191919192,0.2197483059051307,7.873239436619718,0.16584550395489717,-0.3171431499129009,-0.8048980428322574,-0.9533905036547415,0.17080595833333334,0.0,0.0,72.0,0.15002824060999714
Decade,top,LDL,2,46,0.63,Weibo Gaming Youth Team,54.6,56.3,55.3,42.7,55.5,53.4,5.5,5.6,5.5,4.3,5.5,5.3,0.0,0.0,0.0,499.50585869565214,0.26083304347826086,8.9129,0.0,0.9723760869565218,0.1474804347826087,6.217391304347826,0.5359877488514548,0.2303370786516854,3.6739130434782608,0.22291861931573828,-0.1863749971337506,-0.5367682465433032,-0.8433746325916015,0.24608141304347825,0.0,0.0,46.0,0.11181178753334946
Coten,top,LDL,2,32,0.375,Anyone's Legend.Young|Team WE Academy,50.4,61.7,50.6,55.0,44.0,53.3,5.0,6.2,5.1,5.5,4.4,5.3,0.0,0.0,0.0,484.28435625,0.2339339375,7.83264375,0.0,0.85353125,0.164546875,4.75,0.5738095238095238,0.18200408997955012,2.0,0.17477812768393933,0.0,0.0,-1.0097031656870723,0.23066325,0.0,0.0,32.0,-0.06561595368285615
XuanLv,bot,LDL,2,32,0.688,Team Pinnacle,46.3,64.0,57.0,47.8,49.6,53.2,4.6,6.4,5.7,4.8,5.0,5.3,0.0,0.0,0.0,524.269709375,0.2545315625,8.737625,0.0,1.366821875,0.309834375,5.125,0.6186915887850467,0.1529745042492918,2.3125,0.2519033232628399,-0.32828282828282834,-0.750445632798574,-0.6722644806996666,0.25513409375,0.0,0.0,32.0,-0.20573929961089496
R1kka,top,LDL,2,36,0.472,LGD Gaming Young Team,49.6,65.5,46.9,54.1,42.4,53.2,5.0,6.5,4.7,5.4,4.2,5.3,0.0,0.0,0.0,486.40273888888885,0.22660025000000003,7.5797138888888895,0.0,1.0781916666666667,0.17140833333333333,6.361111111111111,0.5565217391304348,0.20784313725490197,2.8055555555555554,0.20797925045171067,-0.4367606040203905,-0.4829277676252765,-0.976242604945983,0.2119982222222222,0.0,0.0,36.0,-0.33048304830483055
Novice,mid,LDL,2,36,0.5,Top Esports Challenger,49.4,64.6,46.2,53.5,46.5,53.1,4.9,6.5,4.6,5.3,4.7,5.3,0.0,0.0,0.0,535.0500388888889,0.27176744444444445,8.049122222222222,0.0,1.0580333333333334,0.24160833333333334,6.416666666666667,0.690522243713733,0.19532554257095158,2.361111111111111,0.19566499334704246,0.0,0.0,-1.108081575788631,0.23177605555555555,0.0,0.0,36.0,0.16038302871349333
Myths,top,LDL,2,85,0.659,Bilibili Gaming Junior,55.1,48.5,61.1,41.6,62.9,53.1,5.5,4.8,6.1,4.2,6.3,5.3,0.0,0.0,0.0,539.4150588235294,0.24408709411764704,8.671217647058823,0.0,0.8291835294117647,0.13538823529411764,2.9647058823529413,0.4985835694050991,0.22155172413793103,3.9647058823529413,0.19784386933745976,0.10150707775742081,0.7114859731766874,-0.9329804170820876,0.23622323529411765,0.0,0.0,85.0,-0.18507445282265028
0909,mid,LDL,2,29,0.621,EDG Youth Team|Oh My God,40.8,62.9,57.2,59.7,48.7,53.1,4.1,6.3,5.7,6.0,4.9,5.3,0.0,0.0,0.0,442.2177620689655,0.22538079310344827,8.364124137931034,0.0,0.9238413793103448,0.19136206896551725,5.241379310344827,0.7004504504504504,0.171875,2.4827586206896552,0.19090909090909092,-0.18188363112769157,0.06027881405851169,-0.6895822406804235,0.2223526551724138,0.0,0.0,29.0,-0.15302491103202853
yekai,jng,LDL,2,56,0.607,Ultra Prime Academy,44.7,59.5,57.3,51.2,55.5,52.9,4.5,6.0,5.7,5.1,5.5,5.3,0.0,0.0,0.0,272.3600303571429,0.12910039642857143,5.037510714285714,0.0,1.3837482142857145,0.3131910714285714,10.142857142857142,0.6600221483942414,0.2027363184079602,10.357142857142858,0.18859190997998226,-0.1286727456940222,0.4532878031695998,-0.8963246460470605,0.1669064642857143,0.0,0.0,56.0,-0.08782065210444914
KennyChan,jng,LDL,2,109,0.67,MAX,47.9,54.4,47.9,49.3,73.6,52.9,4.8,5.4,4.8,4.9,7.4,5.3,0.0,0.0,0.0,309.4457128440367,0.14006259174311927,5.328897247706422,0.0,1.2108963302752294,0.3289348623853211,6.972477064220183,0.6727982162764772,0.22759714512291832,11.73394495412844,0.184075925328747,-0.3298650829437311,-0.6127710404948936,-0.8391077058289034,0.17295818348623854,0.0,0.0,109.0,0.0227861347285808
Longqi,top,LDL,2,70,0.529,Team Pinnacle,50.0,60.6,50.5,46.8,55.1,52.9,5.0,6.1,5.0,4.7,5.5,5.3,0.0,0.0,0.0,476.99777,0.23477455714285714,8.195355714285714,0.0,0.8596928571428571,0.16532285714285713,4.571428571428571,0.5412757973733584,0.2053872053872054,5.114285714285714,0.22204037882156152,-0.2502658036596967,-0.7931767734233646,-0.917845827407194,0.23950842857142857,0.0,0.0,70.0,-0.35225669128369164
Kaixuan,sup,LDL,2,74,0.378,Anyone's Legend.Young,47.5,60.3,45.9,52.7,59.3,52.8,4.8,6.0,4.6,5.3,5.9,5.3,0.0,0.0,0.0,145.42631216216216,0.07518942837837837,1.0026716216216216,0.0,2.4492905405405407,0.2985445945945946,14.608108108108109,0.6963906581740976,0.2185792349726776,0.05405405405405406,0.1965345403008275,0.0,0.0,-1.2401068474733306,0.09053762567567568,0.0,0.0,74.0,0.2940900644309754
