player_id,position,league,tier,games,winrate,操作,意识,心态,团队,体质,总评,box_综合,impact,final_z,teams
EvanRL,bot,PGC,2,47,0.383,56.7,47.7,32.9,51.0,38.0,47.4,57.6,38.6,-0.352,DK Crew|Harrisburg University|Maryville University
BroCColi,jng,TCL,15,36,0.361,49.4,47.9,45.6,45.6,46.4,47.4,56.3,40.9,-0.35,Beşiktaş Esports|Galakticos
SophistSage,bot,UPL,2,39,0.538,66.5,35.0,42.0,42.4,40.6,47.4,54.3,45.0,-0.35,Bay State College
Pridestalkr,jng,LCS,1,33,0.394,62.4,33.4,51.4,44.2,39.0,47.4,53.8,46.2,-0.35,Golden Guardians
stillnumb,mid,TCL,15,45,0.467,53.5,37.8,51.2,47.4,47.6,47.4,52.9,48.3,-0.351,Fenerbahçe Esports
Betty,bot,LPL,1,83,0.386,38.7,54.8,47.5,56.9,39.5,47.3,57.7,38.3,-0.357,Anyone's Legend
Poweh,top,NEXO,3,23,0.522,66.4,34.7,50.5,34.9,38.9,47.3,52.8,48.4,-0.357,Kawaii Kiwis
Keishao,sup,LMF,2,40,0.5,44.6,56.4,34.3,52.9,43.9,47.3,50.5,54.2,-0.358,River Plate Gaming|Stone Movistar
Boal,top,CBLOL,15,24,0.458,40.6,42.5,69.3,42.8,50.8,47.3,50.0,55.5,-0.357,Flamengo MDL|RED Canids
Kaylem,top,NLC,2,54,0.426,41.5,52.4,42.8,55.5,45.2,47.2,58.4,37.2,-0.36,BK ROG Esports|MNM Gaming
Zaiiche,top,NEXO,3,22,0.364,37.5,50.8,46.7,56.0,52.9,47.2,54.2,44.9,-0.364,UCAM Esports Academy
Dolis,mid,HC,3,24,0.458,56.0,44.1,39.4,48.5,40.8,47.2,53.2,47.2,-0.363,Inside Games Challengers
Roshan,jng,ESLOL,3,43,0.535,48.5,47.2,43.9,45.1,50.9,47.2,51.0,52.8,-0.361,The Agency
SLT,top,LVP SL,2,25,0.52,48.2,46.9,51.3,45.1,42.2,47.2,50.1,55.1,-0.363,KOI
Guubi,bot,LVP SL,2,73,0.521,42.9,38.9,52.1,58.3,54.9,47.2,48.2,60.1,-0.361,BISONS ECLUB
Raxxo,sup,LFL,2,45,0.333,52.6,47.4,43.5,48.0,36.4,47.1,57.0,39.3,-0.365,Mirage Elyandra
Muja,mid,CBLOLA,3,41,0.439,41.2,57.5,44.9,46.7,43.2,47.1,55.9,41.3,-0.366,INTZ|INTZ Academy
Wendel,sup,NLC,2,23,0.391,38.1,49.2,48.1,51.1,58.2,47.1,52.0,50.0,-0.369,Astralis Talent|Rebels Gaming
Haenam,top,LAS,3,34,0.618,44.4,46.7,48.0,48.5,51.9,47.1,48.4,59.3,-0.367,Nongshim RedForce Academy
PandaC,top,LDL,2,29,0.586,45.2,58.5,45.1,41.1,38.0,47.1,47.4,61.8,-0.369,LNG Academy|LNG Esports
